user1,user2,interaction
74,372,like
1330,274,dislike
725,1165,dislike
2287,1334,dislike
248,1201,like
1068,2666,like
2386,982,like
812,1762,like
2621,796,like
479,1574,dislike
2054,2482,dislike
1622,311,dislike
2999,2328,like
1932,2603,like
403,2096,like
2154,2841,like
2675,1657,dislike
1742,52,dislike
331,1328,dislike
1084,1538,like
1467,838,dislike
1282,1083,dislike
2173,2822,dislike
2448,182,like
152,2063,like
2387,1397,dislike
1370,2756,dislike
195,2954,dislike
829,865,like
1841,1218,like
498,685,dislike
232,2144,dislike
500,2303,like
2839,1438,dislike
1628,1090,dislike
2938,884,like
616,2173,dislike
584,1760,dislike
2442,447,dislike
1397,2565,dislike
2944,1438,like
888,143,like
2441,2849,dislike
998,1005,like
2385,1150,like
1604,999,dislike
615,440,like
1475,1180,dislike
1266,187,like
734,2609,dislike
2209,2661,dislike
1478,2728,dislike
1614,552,dislike
2425,2625,like
1524,2963,like
2112,2019,like
582,2614,like
2387,395,dislike
2798,97,like
2114,2579,like
1239,2810,dislike
1441,1699,dislike
392,922,dislike
524,2498,like
2386,749,like
2835,2527,like
1074,949,like
2505,980,dislike
262,2056,dislike
585,637,like
1167,1886,like
1058,1625,like
1613,1246,dislike
2623,544,like
1458,1249,like
1333,1586,dislike
492,1441,dislike
2075,986,like
2780,1963,dislike
1945,1871,like
1965,1679,like
1690,2484,dislike
2826,1067,dislike
2617,132,dislike
10,115,dislike
1853,2395,like
1332,1402,dislike
2683,1377,like
1571,1686,like
1194,1361,dislike
164,2991,like
491,2063,like
1083,2848,like
2129,2853,like
1293,2004,like
676,1173,like
333,2988,dislike
1881,2139,dislike
1171,395,dislike
551,288,dislike
395,530,like
2483,1980,dislike
1631,2727,dislike
1359,2165,dislike
2714,2837,dislike
2784,1220,like
1297,2543,dislike
982,1097,dislike
2867,334,dislike
2089,2681,dislike
594,1716,dislike
940,2852,dislike
1885,2006,like
2038,78,dislike
199,2852,like
1061,1724,dislike
2272,1283,like
280,1361,like
168,1852,dislike
2314,554,like
696,2173,like
2410,2279,dislike
459,1560,like
95,952,dislike
342,564,dislike
540,1276,dislike
985,1973,like
189,820,dislike
1009,1685,dislike
1379,2005,dislike
1570,408,dislike
2949,215,like
1481,2558,dislike
1285,593,dislike
2207,1307,dislike
2017,2497,like
324,414,dislike
576,2800,like
2111,1299,like
1040,1651,like
2809,2668,like
113,1585,dislike
911,1158,like
2209,2640,dislike
256,321,like
935,681,like
2815,659,like
1821,279,dislike
1153,257,like
1384,2569,like
1061,563,like
2182,2573,like
